"","chain","amount_staked_nodes","amount_staked_apps","aligned_height","date","all_relays"
"322","0001",31957,127,56848,"2022-04-18 08:39:52.912",38463
"323","0003",38006,103,56848,"2022-04-18 08:39:52.912",104250
"324","0004",20835,149,56848,"2022-04-18 08:39:52.912",17013
"325","0005",42316,69,56848,"2022-04-18 08:39:52.912",1645505
"326","0006",6244,55,56848,"2022-04-18 08:39:52.912",19385
"327","0009",40985,193,56848,"2022-04-18 08:39:52.912",15438605
"328","000A",5126,4,56848,"2022-04-18 08:39:52.912",304
"329","000B",2135,14,56848,"2022-04-18 08:39:52.912",11698
"330","000C",4879,14,56848,"2022-04-18 08:39:52.912",20776
"331","0010",3543,14,56848,"2022-04-18 08:39:52.912",170
"332","0021",42996,673,56848,"2022-04-18 08:39:52.912",3444755
"333","0022",23892,72,56848,"2022-04-18 08:39:52.912",181555
"334","0023",13521,83,56848,"2022-04-18 08:39:52.912",8707
"335","0024",19730,72,56848,"2022-04-18 08:39:52.912",216
"336","0025",29414,159,56848,"2022-04-18 08:39:52.912",11491
"337","0026",35640,106,56848,"2022-04-18 08:39:52.912",51683
"338","0027",42154,234,56848,"2022-04-18 08:39:52.912",4662229
"339","0028",24480,64,56848,"2022-04-18 08:39:52.912",54596
"340","0040",42806,223,56848,"2022-04-18 08:39:52.912",7651034
"341","0044",17245,11,56848,"2022-04-18 08:39:52.912",266879
"342","0047",7706,4,56848,"2022-04-18 08:39:52.912",6758
"343","0048",4351,3,56848,"2022-04-18 08:39:52.912",8510
"344","03DF",28369,11,56848,"2022-04-18 08:39:52.912",297950
"345","0001",31957,127,56852,"2022-04-18 09:41:26.332",41025
"346","0003",38006,103,56852,"2022-04-18 09:41:26.332",104902
"347","0004",20835,149,56852,"2022-04-18 09:41:26.332",17450
"348","0005",42316,69,56852,"2022-04-18 09:41:26.332",1520556
"349","0006",6244,55,56852,"2022-04-18 09:41:26.332",17160
"350","0009",41013,193,56852,"2022-04-18 09:41:26.332",17893836
"351","000A",5126,4,56852,"2022-04-18 09:41:26.332",464
"352","000B",2135,14,56852,"2022-04-18 09:41:26.332",7162
"353","000C",4879,14,56852,"2022-04-18 09:41:26.332",17731
"354","0010",3543,14,56852,"2022-04-18 09:41:26.332",248
"355","0021",42996,673,56852,"2022-04-18 09:41:26.332",3313637
"356","0022",23892,72,56852,"2022-04-18 09:41:26.332",160429
"357","0023",13521,83,56852,"2022-04-18 09:41:26.332",2703
"358","0024",19730,72,56852,"2022-04-18 09:41:26.332",253
"359","0025",29414,159,56852,"2022-04-18 09:41:26.332",10160
"360","0026",35640,106,56852,"2022-04-18 09:41:26.332",55605
"361","0027",42154,234,56852,"2022-04-18 09:41:26.332",4591221
"362","0028",24480,64,56852,"2022-04-18 09:41:26.332",69868
"363","0040",42806,223,56852,"2022-04-18 09:41:26.332",7169524
"364","0044",17245,11,56852,"2022-04-18 09:41:26.332",230214
